Title,Body,Labels,Milestone
3.1 Signal Generation System (Gate),"Stage1: hit_5R≥0.65 & confidence≥0.7; Stage2: session/context/spread/vol rules; Stage3: stress/correlation; scoring; throttling; persistence; tracking. Acceptance: unit tests cover gates; backtests adhere to policy.","phase:Phase3|signals|risk-gating|rules:Signal-Gate","Trading Engine Complete (Wk 6)"
3.2 Dynamic Position Sizing (Kelly-based),"base_risk=1%; multipliers by probs; final_risk=base×multiplier×confidence; drawdown/vol governors; per-pair caps. Acceptance: bounded/monotonic; never exceeds limits in sim.","phase:Phase3|sizing|risk|rules:Kelly-PortfolioLimits","Trading Engine Complete (Wk 6)"
3.3 Portfolio Risk Management,"Position: hard 1R SL; trailing (ATR/VWAP); partial profits (3R/7R/12R). Portfolio: daily≤5%, weekly≤15%, max 3; correlation limits. Crisis protocols. Acceptance: policy blocks violations; crisis sims trigger.","phase:Phase3|risk|portfolio","Trading Engine Complete (Wk 6)"
3.4 Trade Execution Engine,"OMS for market/stop/TP; modify/cancel; execution quality analysis; lifecycle (entry/monitor/exit/reconcile). Acceptance: paper exec ≤60s; slippage tracked; reconciliation passes.","phase:Phase3|execution|oms","Trading Engine Complete (Wk 6)"
3.5 Performance Monitoring & Alerting,"Real-time P&L/drawdown/trade analytics/system health; alerts Email/SMS/Slack; model degradation rules (rolling_accuracy_7d, rolling_sharpe_30d). Acceptance: synthetic tests trigger; metrics accurate.","phase:Phase3|monitoring|alerting","Trading Engine Complete (Wk 6)"
4.1 Paper Trading Implementation,"Simulated env with latency/delay; live data; real-time signals; paper execution; comprehensive logging/audit. Acceptance: 8+ hr run without crash; audit complete.","phase:Phase4|paper-trading","Ready for Production (Wk 8)"
4.2 Historical Stress Testing,"Multi-regime backtests; crisis (2008, 2020); volatility regime analysis; scenarios; Monte Carlo with CIs. Acceptance: reports generated; risk policy validated.","phase:Phase4|stress-testing|monte-carlo","Ready for Production (Wk 8)"
4.3 Performance Validation vs KPIs,"KPI harness: Sharpe≥2.1, 5R+ hit≥60%, MaxDD<8%, daily DD<5%, win≥62%, PF≥2.5; significance tests; CIs; benchmarks. Acceptance: pass/fail with rationale; failing KPIs open tickets.","phase:Phase4|kpi|validation","Ready for Production (Wk 8)"
4.4 Production Deployment,"Cloud IaC; Docker; CI/CD; DB setup; KMS secrets; A/B serving 80/20. Acceptance: one-click staging deploy; rollback; secrets rotation.","phase:Phase4|deployment|cicd|security","Ready for Production (Wk 8)"
4.5 Monitoring Dashboard (Streamlit),"Real-time metrics/trade history/model performance/risk metrics/feature drift/model confidence; feature importance trends; signal frequency; health indicators. Acceptance: renders with live feed; UI SLA.","phase:Phase4|dashboard|monitoring","Ready for Production (Wk 8)"
4.6 Documentation & Training,"Architecture docs; API refs; training/deploy procedures; troubleshooting; user docs; maintenance manual. Acceptance: peer-reviewed; onboarding walk-through successful.","phase:Phase4|docs|onboarding","Ready for Production (Wk 8)"

