time,ret,trgt,bin,side
2023-09-14 07:35:00,0.01455191442718351,0.0007133087719449942,-1,-1
2023-06-01 01:20:00,0.011690924822959525,0.0005772094759299886,1,1
2023-03-27 08:20:00,0.01744121252646824,0.0008475360941640153,1,1
2023-02-01 05:20:00,-0.01812560955412823,0.0008924532693853683,-1,1
2023-05-30 19:20:00,-0.0011733482329934208,0.0006465960692890983,1,-1
2023-10-18 23:25:00,0.013816663503511073,0.0006836186544788664,1,1
2023-11-01 12:25:00,0.033314051075854945,0.0025036133449659443,0,1
2023-09-04 21:35:00,0.005674036392095516,0.00027603103479550257,-1,-1
2023-11-17 02:25:00,0.01055938965622083,0.0005267964994094439,0,1
2023-06-02 10:20:00,-0.001761003957624685,0.0011691581451048253,1,-1
2023-07-05 05:35:00,-0.0009461346266902426,0.00032291128954189605,1,-1
2023-06-07 23:20:00,0.0095165089930076,0.00047284425747039547,1,1
2023-11-17 17:25:00,0.0012129900204003174,0.0013991083405539828,0,1
2023-02-13 01:20:00,0.006668167238759626,0.002317806032463386,0,1
2023-11-06 20:25:00,-0.0012110896936594617,0.0007508133365334724,1,-1
2023-01-12 09:20:00,0.018052399838885513,0.0008395374071582406,1,1
2023-03-06 10:20:00,0.014479535902667484,0.0007149945093688599,1,1
2023-08-16 04:35:00,-0.0004948090861609522,0.0003093756388833683,1,-1
2023-02-08 18:20:00,-0.007305323381693873,0.0017823256346146136,-1,1
2023-07-13 11:35:00,-0.020214222436981455,0.0012007455917432595,-1,1
2023-06-02 08:20:00,-0.0012432964055743012,0.0007721064567724183,1,-1
2023-06-12 17:20:00,0.015447033425146861,0.0007651836828353771,1,1
2023-05-22 19:20:00,0.009794035814987057,0.0004791347981556812,-1,-1
2023-08-23 21:35:00,-0.002048408579433225,0.001264185602206207,1,-1
2023-12-18 21:25:00,0.0070129180513973655,0.00034266494180685604,1,1
2023-10-24 02:25:00,-0.001532552728223835,0.000898614257113745,1,-1
2023-07-10 03:35:00,0.0010679762306828877,0.0016113356719443617,0,1
2023-02-28 23:20:00,0.03006252591473535,0.0014250658682916173,1,1
2023-06-12 23:20:00,0.007302118171683469,0.0003560625136297069,1,1
2023-05-24 16:20:00,-0.0019213990012437732,0.0012068380110133146,1,-1
2023-12-15 01:25:00,-0.0034199043878190283,0.0021681283354793093,1,-1
2023-11-14 07:25:00,0.008491438500126236,0.00020770449373150123,1,1
2023-02-01 07:20:00,-0.02040985189066935,0.0010152547044456359,-1,1
2023-11-22 19:25:00,0.010830822370838433,0.0017969305222460042,0,1
2023-05-07 21:20:00,-0.01837951659602266,0.0009155471261088227,-1,1
2023-04-03 00:20:00,0.01852879687702358,0.0017126680917011574,0,1
2023-07-10 16:35:00,0.024225767407151322,0.001207136045063683,0,1
2023-07-11 14:35:00,0.025725491623517893,0.001281971383959629,0,1
2023-04-25 22:20:00,-0.02233135318342505,0.0011122137073410162,-1,1
2023-07-13 06:35:00,0.01012892170496027,0.0005040772086653969,0,1
2023-09-11 19:35:00,-0.0010130676431769903,0.0005400885718653691,1,-1
2023-02-01 10:20:00,-0.024836216956254153,0.0017615522590191236,-1,1
